,subject_id,final_elo_rating,cohort,cage,experiment_type,rank
0,1.1,1163.2,,1,reward_competition,1.0
1,1.2,959.9,,1,reward_competition,3.0
2,1.3,1018.4,,1,reward_competition,2.0
3,1.4,858.5,,1,reward_competition,4.0
4,2.1,972.6,,2,reward_competition,3.0
5,2.2,1110.4,,2,reward_competition,1.0
6,2.3,1031.1,,2,reward_competition,2.0
7,2.4,885.9,,2,reward_competition,4.0
8,3.1,910.9,,3,reward_competition,4.0
9,3.2,1087.7,,3,reward_competition,1.0
10,3.3,1010.4,,3,reward_competition,2.0
11,3.4,991.0,,3,reward_competition,3.0
12,4.1,1010.4,,4,reward_competition,2.0
13,4.2,797.4,,4,reward_competition,4.0
14,4.3,999.8,,4,reward_competition,3.0
15,4.4,1192.4,,4,reward_competition,1.0
16,5.1,739.8,,5,reward_competition,4.0
17,5.2,1259.9,,5,reward_competition,1.0
18,5.3,1037.3,,5,reward_competition,2.0
19,5.4,963.0,,5,reward_competition,3.0
20,6.1,974.5,,6,reward_competition,3.0
21,6.2,751.8,,6,reward_competition,4.0
22,6.3,1244.4,,6,reward_competition,1.0
23,6.4,1029.3,,6,reward_competition,2.0
